Source,Target,Weight,Type
001_Anonymous,037_David,2,undirected
001_Anonymous,104_Anonymous,1,undirected
001_Anonymous,146_Anonymous,3,undirected
002_Anonymous,022_David,3,undirected
002_Anonymous,067_Anonymous,2,undirected
002_Anonymous,073_Asaph,1,undirected
002_Anonymous,076_Asaph,5,undirected
003_David,055_David,2,undirected
003_David,069_David,1,undirected
003_David,087_Korah,6,undirected
004_David,049_Korah,2,undirected
004_David,052_David,6,undirected
004_David,062_David,2,undirected
004_David,109_David,1,undirected
005_David,036_David,3,undirected
005_David,045_Korah,3,undirected
005_David,048_Korah,2,undirected
005_David,059_David,2,undirected
005_David,065_David,2,undirected
005_David,091_Anonymous,6,undirected
005_David,102_Anonymous,1,undirected
005_David,114_Anonymous,2,undirected
005_David,132_Anonymous,1,undirected
005_David,145_David,1,undirected
006_David,013_David,1,undirected
006_David,031_David,3,undirected
006_David,088_Korah+Heman,2,undirected
006_David,116_Anonymous,1,undirected
007_David,011_David,3,undirected
007_David,014_David,1,undirected
007_David,022_David,1,undirected
007_David,072_Solomon,5,undirected
007_David,097_Anonymous,3,undirected
008_David,019_David,2,undirected
008_David,031_David,3,undirected
008_David,094_Anonymous,1,undirected
009_David,020_David,2,undirected
009_David,028_David,1,undirected
009_David,059_David,1,undirected
009_David,092_Anonymous,4,undirected
009_David,094_Anonymous,5,undirected
009_David,122_David,3,undirected
010_Anonymous,037_David,2,undirected
010_Anonymous,044_Korah,2,undirected
010_Anonymous,073_Asaph,2,undirected
010_Anonymous,081_Asaph,2,undirected
010_Anonymous,090_Moses,1,undirected
010_Anonymous,101_David,1,undirected
010_Anonymous,105_Anonymous,5,undirected
010_Anonymous,106_Anonymous,1,undirected
010_Anonymous,111_Anonymous,1,undirected
010_Anonymous,112_Anonymous,2,undirected
011_David,007_David,3,undirected
011_David,064_David,1,undirected
011_David,144_David,2,undirected
012_David,044_Korah,1,undirected
012_David,066_Anonymous,2,undirected
012_David,068_David,6,undirected
012_David,076_Asaph,2,undirected
012_David,079_Asaph,1,undirected
012_David,085_Korah,1,undirected
012_David,089_Ethan,5,undirected
012_David,093_Anonymous,3,undirected
013_David,006_David,1,undirected
013_David,023_David,2,undirected
013_David,031_David,3,undirected
014_David,007_David,1,undirected
014_David,053_David,6,undirected
014_David,104_Anonymous,2,undirected
015_David,083_Asaph,1,undirected
015_David,092_Anonymous,3,undirected
015_David,132_Anonymous,2,undirected
016_David,026_David,2,undirected
016_David,039_David,3,undirected
016_David,069_David,1,undirected
017_David,026_David,1,undirected
017_David,088_Korah+Heman,3,undirected
017_David,143_David,2,undirected
018_David,089_Ethan,1,undirected
018_David,094_Anonymous,3,undirected
018_David,106_Anonymous,2,undirected
019_David,008_David,2,undirected
019_David,035_David,1,undirected
019_David,107_Anonymous,3,undirected
019_David,144_David,4,undirected
020_David,009_David,2,undirected
020_David,083_Asaph,1,undirected
020_David,132_Anonymous,3,undirected
021_David,045_Korah,3,undirected
021_David,071_Anonymous,2,undirected
021_David,109_David,1,undirected
022_David,002_Anonymous,3,undirected
022_David,007_David,1,undirected
022_David,035_David,4,undirected
022_David,041_David,2,undirected
022_David,071_Anonymous,1,undirected
