Source,Target,Weight,Type
001_Anonymous,009_David,1,undirected
001_Anonymous,037_David,2,undirected
001_Anonymous,112_Anonymous,5,undirected
002_Anonymous,009_David,1,undirected
002_Anonymous,010_Anonymous,2,undirected
002_Anonymous,076_Asaph,3,undirected
003_David,006_David,3,undirected
003_David,057_David,1,undirected
003_David,116_Anonymous,2,undirected
004_David,026_David,3,undirected
004_David,030_David,1,undirected
004_David,052_David,3,undirected
004_David,062_David,2,undirected
004_David,087_Korah,2,undirected
004_David,097_Anonymous,3,undirected
004_David,116_Anonymous,2,undirected
004_David,149_Anonymous,3,undirected
005_David,026_David,2,undirected
005_David,089_Ethan,1,undirected
005_David,116_Anonymous,3,undirected
006_David,003_David,3,undirected
006_David,020_David,4,undirected
006_David,023_David,1,undirected
006_David,030_David,2,undirected
006_David,116_Anonymous,4,undirected
007_David,032_David,3,undirected
007_David,036_David,1,undirected
007_David,063_David,3,undirected
007_David,109_David,2,undirected
008_David,030_David,1,undirected
008_David,031_David,3,undirected
008_David,063_David,2,undirected
009_David,001_Anonymous,1,undirected
009_David,002_Anonymous,1,undirected
009_David,010_Anonymous,3,undirected
009_David,080_Asaph,1,undirected
009_David,084_Korah,1,undirected
009_David,092_Anonymous,3,undirected
009_David,104_Anonymous,2,undirected
010_Anonymous,002_Anonymous,2,undirected
010_Anonymous,009_David,3,undirected
010_Anonymous,065_David,2,undirected
010_Anonymous,068_David,2,undirected
010_Anonymous,072_Solomon,2,undirected
010_Anonymous,076_Asaph,3,undirected
010_Anonymous,077_Asaph,3,undirected
010_Anonymous,089_Ethan,5,undirected
010_Anonymous,091_Anonymous,1,undirected
010_Anonymous,096_Anonymous,3,undirected
010_Anonymous,103_David,3,undirected
010_Anonymous,104_Anonymous,5,undirected
010_Anonymous,105_Anonymous,2,undirected
010_Anonymous,112_Anonymous,1,undirected
010_Anonymous,142_David,1,undirected
011_David,058_David,3,undirected
011_David,063_David,1,undirected
011_David,116_Anonymous,3,undirected
011_David,140_David,2,undirected
012_David,020_David,2,undirected
012_David,064_David,2,undirected
012_David,071_Anonymous,1,undirected
012_David,089_Ethan,3,undirected
012_David,093_Anonymous,1,undirected
013_David,026_David,2,undirected
013_David,091_Anonymous,1,undirected
013_David,116_Anonymous,3,undirected
014_David,041_David,2,undirected
014_David,053_David,6,undirected
014_David,062_David,1,undirected
015_David,020_David,1,undirected
015_David,024_David,2,undirected
015_David,026_David,1,undirected
015_David,028_David,1,undirected
015_David,030_David,3,undirected
015_David,036_David,4,undirected
015_David,047_Korah,2,undirected
015_David,054_David,2,undirected
015_David,067_Anonymous,2,undirected
015_David,095_Anonymous,3,undirected
015_David,099_Anonymous,2,undirected
015_David,101_David,3,undirected
015_David,108_David,1,undirected
015_David,113_Anonymous,3,undirected
015_David,121_Anonymous,3,undirected
015_David,127_Solomon,2,undirected
015_David,130_Anonymous,2,undirected
015_David,131_David,3,undirected
015_David,133_David,1,undirected
015_David,150_Anonymous,1,undirected
016_David,026_David,3,undirected
016_David,084_Korah,1,undirected
016_David,091_Anonymous,2,undirected
017_David,026_David,2,undirected
017_David,088_Korah+Heman,3,undirected
017_David,109_David,1,undirected
018_David,089_Ethan,3,undirected
018_David,094_Anonymous,2,undirected
018_David,109_David,1,undirected
018_David,116_Anonymous,2,undirected
019_David,031_David,3,undirected
019_David,116_Anonymous,1,undirected
019_David,144_David,5,undirected
020_David,006_David,4,undirected
020_David,012_David,2,undirected
020_David,015_David,1,undirected
020_David,028_David,3,undirected
020_David,116_Anonymous,2,undirected
020_David,137_Anonymous,1,undirected
021_David,026_David,2,undirected
021_David,030_David,3,undirected
021_David,089_Ethan,1,undirected
022_David,055_David,4,undirected
022_David,102_Anonymous,1,undirected
022_David,109_David,3,undirected
023_David,006_David,1,undirected
023_David,031_David,3,undirected
023_David,086_David,2,undirected
024_David,015_David,2,undirected
024_David,029_David,6,undirected
024_David,030_David,1,undirected
024_David,095_Anonymous,2,undirected
025_David,030_David,2,undirected
025_David,031_David,3,undirected
025_David,071_Anonymous,1,undirected
026_David,004_David,3,undirected
026_David,005_David,2,undirected
026_David,013_David,2,undirected
026_David,015_David,1,undirected
026_David,016_David,3,undirected
026_David,017_David,2,undirected
026_David,021_David,2,undirected
026_David,027_David,2,undirected
026_David,032_David,2,undirected
026_David,038_David,2,undirected
026_David,039_David,2,undirected
026_David,041_David,3,undirected
026_David,045_Korah,2,undirected
026_David,052_David,2,undirected
026_David,056_David,1,undirected
026_David,057_David,1,undirected
026_David,062_David,1,undirected
026_David,067_Anonymous,1,undirected
026_David,069_David,1,undirected
026_David,073_Asaph,3,undirected
026_David,074_Asaph,1,undirected
026_David,085_Korah,3,undirected
026_David,086_David,4,undirected
026_David,088_Korah+Heman,2,undirected
026_David,089_Ethan,2,undirected
026_David,090_Moses,3,undirected
026_David,091_Anonymous,3,undirected
026_David,092_Anonymous,1,undirected
026_David,101_David,2,undirected
026_David,109_David,1,undirected
026_David,110_David,2,undirected
026_David,114_Anonymous,2,undirected
026_David,116_Anonymous,2,undirected
026_David,127_Solomon,3,undirected
026_David,138_David,1,undirected
026_David,140_David,2,undirected
026_David,141_David,3,undirected
027_David,026_David,2,undirected
027_David,030_David,3,undirected
027_David,116_Anonymous,1,undirected
028_David,015_David,1,undirected
028_David,020_David,3,undirected
028_David,030_David,2,undirected
028_David,124_David,3,undirected
028_David,132_Anonymous,3,undirected
029_David,024_David,6,undirected
029_David,093_Anonymous,1,undirected
029_David,148_Anonymous,2,undirected
030_David,004_David,1,undirected
030_David,006_David,2,undirected
030_David,008_David,1,undirected
030_David,015_David,3,undirected
030_David,021_David,3,undirected
030_David,024_David,1,undirected
030_David,025_David,2,undirected
030_David,027_David,3,undirected
030_David,028_David,2,undirected
030_David,031_David,3,undirected
030_David,040_David,2,undirected
030_David,050_Asaph,1,undirected
030_David,061_David,2,undirected
030_David,063_David,6,undirected
030_David,070_David,1,undirected
030_David,071_Anonymous,2,undirected
030_David,093_Anonymous,3,undirected
030_David,116_Anonymous,4,undirected
030_David,122_David,1,undirected
030_David,130_Anonymous,1,undirected
030_David,131_David,1,undirected
030_David,132_Anonymous,1,undirected
030_David,141_David,1,undirected
030_David,145_David,3,undirected
031_David,008_David,3,undirected
031_David,019_David,3,undirected
031_David,023_David,3,undirected
031_David,025_David,3,undirected
031_David,030_David,3,undirected
031_David,039_David,1,undirected
031_David,040_David,1,undirected
031_David,051_David,3,undirected
031_David,061_David,3,undirected
031_David,071_Anonymous,1,undirected
031_David,081_Asaph,2,undirected
031_David,088_Korah+Heman,3,undirected
031_David,116_Anonymous,1,undirected
031_David,118_Anonymous,1,undirected
031_David,139_David,1,undirected
031_David,142_David,2,undirected
031_David,143_David,6,undirected
031_David,144_David,1,undirected
032_David,007_David,3,undirected
032_David,026_David,2,undirected
032_David,089_Ethan,1,undirected
033_David,104_Anonymous,2,undirected
033_David,135_Anonymous,3,undirected
033_David,147_Anonymous,1,undirected
034_David,055_David,6,undirected
034_David,109_David,2,undirected
034_David,116_Anonymous,1,undirected
035_David,070_David,4,undirected
035_David,071_Anonymous,1,undirected
035_David,116_Anonymous,3,undirected
036_David,007_David,1,undirected
036_David,015_David,4,undirected
036_David,086_David,1,undirected
036_David,091_Anonymous,6,undirected
036_David,110_David,3,undirected
037_David,001_Anonymous,2,undirected
037_David,104_Anonymous,1,undirected
037_David,109_David,2,undirected
037_David,112_Anonymous,6,undirected
038_David,026_David,2,undirected
038_David,109_David,3,undirected
038_David,116_Anonymous,1,undirected
039_David,026_David,2,undirected
039_David,031_David,1,undirected
039_David,116_Anonymous,3,undirected
040_David,030_David,2,undirected
040_David,031_David,1,undirected
040_David,069_David,3,undirected
040_David,070_David,3,undirected
040_David,071_Anonymous,6,undirected
041_David,014_David,2,undirected
041_David,026_David,3,undirected
041_David,053_David,1,undirected
041_David,089_Ethan,2,undirected
041_David,116_Anonymous,1,undirected
041_David,118_Anonymous,3,undirected
042_Korah,043_Anonymous,3,undirected
042_Korah,053_David,2,undirected
042_Korah,056_David,3,undirected
042_Korah,063_David,3,undirected
042_Korah,116_Anonymous,2,undirected
043_Anonymous,042_Korah,3,undirected
043_Anonymous,086_David,1,undirected
043_Anonymous,142_David,2,undirected
044_Korah,060_David,2,undirected
044_Korah,079_Asaph,1,undirected
044_Korah,089_Ethan,3,undirected
045_Korah,026_David,2,undirected
045_Korah,063_David,3,undirected
045_Korah,088_Korah+Heman,1,undirected
046_Korah,048_Korah,5,undirected
046_Korah,052_David,3,undirected
046_Korah,076_Asaph,1,undirected
047_Korah,015_David,2,undirected
047_Korah,075_Asaph,1,undirected
047_Korah,108_David,3,undirected
048_Korah,046_Korah,5,undirected
048_Korah,060_David,2,undirected
048_Korah,104_Anonymous,1,undirected
049_Korah,057_David,1,undirected
049_Korah,089_Ethan,3,undirected
049_Korah,147_Anonymous,2,undirected
050_Asaph,030_David,1,undirected
050_Asaph,057_David,2,undirected
050_Asaph,066_Anonymous,1,undirected
050_Asaph,089_Ethan,3,undirected
051_David,031_David,3,undirected
051_David,071_Anonymous,2,undirected
051_David,143_David,1,undirected
052_David,004_David,3,undirected
052_David,026_David,2,undirected
052_David,046_Korah,3,undirected
052_David,101_David,2,undirected
052_David,122_David,3,undirected
052_David,126_Anonymous,1,undirected
053_David,014_David,6,undirected
053_David,041_David,1,undirected
053_David,042_Korah,2,undirected
054_David,015_David,2,undirected
054_David,086_David,1,undirected
054_David,116_Anonymous,3,undirected
055_David,022_David,4,undirected
055_David,034_David,6,undirected
055_David,089_Ethan,1,undirected
056_David,026_David,1,undirected
056_David,042_Korah,3,undirected
056_David,084_Korah,3,undirected
057_David,003_David,1,undirected
057_David,026_David,1,undirected
057_David,049_Korah,1,undirected
057_David,050_Asaph,2,undirected
057_David,063_David,4,undirected
057_David,067_Anonymous,3,undirected
057_David,082_Asaph,3,undirected
057_David,090_Moses,2,undirected
057_David,108_David,2,undirected
057_David,124_David,2,undirected
057_David,136_Anonymous,3,undirected
057_David,147_Anonymous,4,undirected
058_David,011_David,3,undirected
058_David,064_David,2,undirected
058_David,140_David,1,undirected
059_David,086_David,1,undirected
059_David,109_David,3,undirected
059_David,116_Anonymous,2,undirected
060_David,044_Korah,2,undirected
060_David,048_Korah,2,undirected
060_David,074_Asaph,2,undirected
060_David,076_Asaph,1,undirected
060_David,079_Asaph,1,undirected
060_David,080_Asaph,2,undirected
060_David,083_Asaph,3,undirected
060_David,084_Korah,1,undirected
060_David,090_Moses,1,undirected
060_David,108_David,6,undirected
060_David,116_Anonymous,2,undirected
061_David,030_David,2,undirected
061_David,031_David,3,undirected
061_David,089_Ethan,1,undirected
062_David,004_David,2,undirected
062_David,014_David,1,undirected
062_David,026_David,1,undirected
062_David,084_Korah,3,undirected
062_David,087_Korah,1,undirected
063_David,007_David,3,undirected
063_David,008_David,2,undirected
063_David,011_David,1,undirected
063_David,030_David,6,undirected
063_David,042_Korah,3,undirected
063_David,045_Korah,3,undirected
063_David,057_David,4,undirected
063_David,091_Anonymous,1,undirected
063_David,102_Anonymous,2,undirected
063_David,127_Solomon,1,undirected
063_David,128_Anonymous,3,undirected
063_David,134_Anonymous,3,undirected
063_David,138_David,2,undirected
